timestamp,contact_1,contact_2,contact_3,contact_4
1741261517.538194,36,36,36,35
1741261517.5401864,36,36,36,35
1741261517.5422049,36,36,36,35
1741261517.5442114,36,36,36,35
1741261517.5462306,36,35,36,35
1741261517.5482135,36,35,36,35
1741261517.5502052,36,35,36,35
1741261517.552191,36,35,36,35
1741261517.5542088,36,35,36,35
1741261517.55619,36,35,36,35
1741261517.5582035,36,35,36,35
1741261517.560195,36,35,36,35
1741261517.5622032,36,35,36,35
1741261517.564196,36,35,36,35
1741261517.5661972,36,35,36,35
1741261517.568215,36,35,36,35
1741261517.5701988,36,35,36,35
1741261517.5722039,36,35,36,35
1741261517.5742064,36,35,36,35
1741261517.5762172,36,35,36,35
1741261517.5781984,36,35,36,35
1741261517.5801947,36,35,36,35
1741261517.5821917,36,35,36,35
1741261517.584186,36,35,36,35
1741261517.5862167,36,35,36,35
1741261517.588214,36,35,36,35
1741261517.590213,36,35,36,35
1741261517.5922263,36,35,36,35
1741261517.5944998,36,35,36,35
1741261517.596208,36,35,36,35
1741261517.599486,36,35,36,35
1741261517.6002018,36,35,36,35
1741261517.6021993,36,35,36,35
1741261517.6041858,36,35,36,35
1741261517.6061974,36,35,36,35
1741261517.6081917,36,35,36,35
1741261517.6102166,36,35,36,35
1741261517.6121922,36,35,36,35
1741261517.6141908,36,35,36,35
1741261517.6161895,36,35,36,35
1741261517.6181924,36,35,36,35
1741261517.6245623,36,35,36,35
1741261517.6262138,36,35,36,35
1741261517.6282094,36,35,36,35
1741261517.630914,36,35,36,35
1741261517.6321805,36,35,36,35
1741261517.6341712,36,35,36,35
1741261517.6361954,36,35,36,35
1741261517.6381829,36,35,36,35
1741261517.6401796,36,35,36,35
1741261517.6422045,36,35,36,35
1741261517.6442068,36,35,36,35
1741261517.6462045,36,35,36,35
1741261517.6481974,36,36,36,35
1741261517.650213,36,36,36,35
1741261517.6522038,36,36,36,35
1741261517.6542196,36,36,36,35
1741261517.656205,36,35,36,35
1741261517.658201,36,35,36,35
1741261517.6602297,36,35,36,35
1741261517.6628287,36,35,36,35
1741261517.6641817,36,35,36,35
1741261517.6661806,36,35,36,35
1741261517.6681972,36,36,36,35
1741261517.6701865,36,36,36,35
1741261517.6722012,36,35,36,35
1741261517.674217,36,35,36,35
1741261517.6765714,36,35,36,35
1741261517.6782112,36,35,36,35
1741261517.680195,36,35,36,35
1741261517.6822677,36,35,36,35
1741261517.6842093,36,35,36,35
1741261517.6861908,36,35,36,35
1741261517.688266,36,35,36,35
1741261517.6902514,36,35,36,35
1741261517.692207,36,35,36,35
1741261517.694196,36,35,36,35
1741261517.6968856,36,36,36,35
1741261517.6981893,36,36,36,35
1741261517.7001958,36,36,36,35
1741261517.7022014,36,36,36,35
1741261517.7041912,36,36,36,35
1741261517.706197,36,36,36,35
1741261517.7082102,36,36,36,35
1741261517.7102108,36,36,36,35
1741261517.712196,36,36,36,35
1741261517.7142117,36,36,36,35
