timestamp,contact_1,contact_2,contact_3,contact_4
1741261517.5781984,1,1,1,1
1741261517.5801947,1,1,1,1
1741261517.5821917,1,1,1,1
1741261517.584186,1,1,1,1
1741261517.5862167,1,1,1,1
1741261517.588214,1,1,1,1
1741261517.590213,1,1,1,1
1741261517.5922263,1,1,1,1
1741261517.5944998,1,1,1,1
1741261517.596208,1,1,1,1
1741261517.599486,1,1,1,1
1741261517.6002018,1,1,1,1
1741261517.6021993,1,1,1,1
1741261517.6041858,1,1,1,1
1741261517.6061974,1,1,1,1
1741261517.6081917,1,1,1,1
1741261517.6102166,1,1,1,1
1741261517.6121922,1,1,1,1
1741261517.6141908,1,1,1,1
1741261517.6161895,1,1,1,1
1741261517.6181924,1,1,1,1
1741261517.6245623,1,1,1,1
1741261517.6262138,1,1,1,1
1741261517.6282094,1,1,1,1
1741261517.630914,1,1,1,1
1741261517.6321805,1,1,1,1
1741261517.6341712,1,1,1,1
1741261517.6361954,1,1,1,1
1741261517.6381829,1,1,1,1
1741261517.6401796,1,1,1,1
1741261517.6422045,1,1,1,1
1741261517.6442068,1,1,1,1
1741261517.6462045,1,1,1,1
1741261517.6481974,1,1,1,1
1741261517.650213,1,1,1,1
1741261517.6522038,1,1,1,1
1741261517.6542196,1,1,1,1
1741261517.656205,1,1,1,1
1741261517.658201,1,1,1,1
1741261517.6602297,1,1,1,1
1741261517.6628287,1,1,1,1
1741261517.6641817,1,1,1,1
1741261517.6661806,1,1,1,1
1741261517.6681972,1,1,1,1
1741261517.6701865,1,1,1,1
1741261517.6722012,1,1,1,1
1741261517.674217,1,1,1,1
1741261517.6765714,1,1,1,1
1741261517.6782112,1,1,1,1
1741261517.680195,1,1,1,1
1741261517.6822677,1,1,1,1
1741261517.6842093,1,1,1,1
1741261517.6861908,1,1,1,1
1741261517.688266,1,1,1,1
1741261517.6902514,1,1,1,1
1741261517.692207,1,1,1,1
1741261517.694196,1,1,1,1
1741261517.6968856,1,1,1,1
1741261517.6981893,1,1,1,1
1741261517.7001958,1,1,1,1
1741261517.7022014,1,1,1,1
1741261517.7041912,1,1,1,1
1741261517.706197,1,1,1,1
1741261517.7082102,1,1,1,1
1741261517.7102108,1,1,1,1
1741261517.712196,1,1,1,1
1741261517.7142117,1,1,1,1
1741261517.7162013,1,1,1,1
1741261517.718209,1,1,1,1
