timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_vel_x,angular_vel_y,angular_vel_z,linear_acc_x,linear_acc_y,linear_acc_z
1741261517.4059725,-0.13058339,-0.0060621463,-0.0015153929,0.9914177,-0.0149137005,-0.036218986,-0.0149137005,-0.05865794,0.0023942017,9.436746
1741261517.4074578,-0.13058527,-0.006062479,-0.0015196293,0.9914174,-0.009587379,-0.02237055,0.0021305287,-0.079008654,0.045489833,9.471462
1741261517.40946,-0.13059133,-0.0060610035,-0.0015331225,0.99141663,-0.03941478,-0.013848436,0.0042610574,-0.079008654,0.045489833,9.471462
1741261517.411342,-0.13060515,-0.0060599507,-0.0015602184,0.9914148,-0.03941478,-0.015978964,0.010652643,-0.08020575,0.047884032,9.352949
1741261517.4133484,-0.13061081,-0.0060577868,-0.001569304,0.991414,-0.03515372,-0.021305285,0.008522115,-0.08020575,0.047884032,9.352949
1741261517.415189,-0.1306271,-0.0060394225,-0.0015758921,0.991412,-0.027696872,-0.025566343,0.019174758,-0.08020575,0.047884032,9.352949
1741261517.417034,-0.13064569,-0.0060422053,-0.0015897995,0.99140954,-0.020240022,-0.025566343,0.008522115,-0.093373865,-0.079008654,9.368511
1741261517.419426,-0.13065341,-0.0060484256,-0.0015965694,0.99140847,-0.027696872,-0.0053263213,0.012783172,-0.093373865,-0.079008654,9.368511
1741261517.4211996,-0.13067128,-0.0060603917,-0.0016328256,0.99140596,-0.04154531,-0.018109493,0.006391586,-0.009576807,-0.010773907,9.344569
1741261517.4230573,-0.13068104,-0.006056029,-0.0016512064,0.99140465,-0.03515372,-0.02237055,0.008522115,-0.009576807,-0.010773907,9.344569
1741261517.4251935,-0.13068308,-0.006046742,-0.0016543352,0.9914045,-0.02450108,-0.036218986,0.0010652643,-0.009576807,-0.010773907,9.344569
1741261517.42712,-0.13069111,-0.0060409703,-0.0016836108,0.99140334,-0.036218986,-0.018109493,0.0,-0.053869538,0.021547815,9.545682
1741261517.4289923,-0.13069199,-0.006040278,-0.0016947138,0.9914032,-0.038349517,-0.01704423,-0.0010652643,-0.053869538,0.021547815,9.545682
1741261517.4310532,-0.13069542,-0.006037193,-0.0017092372,0.99140275,-0.03728425,-0.012783172,-0.003195793,-0.022744916,-0.10414778,9.434352
1741261517.4330783,-0.13071132,-0.006039214,-0.0017305139,0.99140066,-0.026631609,-0.01704423,0.0053263213,-0.022744916,-0.10414778,9.434352
1741261517.435363,-0.13071641,-0.0060467925,-0.00173509,0.9913999,-0.02237055,-0.0021305287,0.0074568503,-0.022744916,-0.10414778,9.434352
1741261517.4371703,-0.13072564,-0.006044286,-0.0017475414,0.9913987,-0.023435814,-0.023435814,0.0042610574,-0.034715924,-0.12808979,9.522937
1741261517.4391015,-0.13073063,-0.006035389,-0.0017552901,0.9913981,-0.030892665,-0.025566343,-0.0010652643,-0.034715924,-0.12808979,9.522937
1741261517.441373,-0.13073142,-0.006034881,-0.0017592962,0.991398,-0.0149137005,-0.013848436,-0.012783172,-0.016759412,-0.074220255,9.613917
1741261517.4431453,-0.1307401,-0.006035821,-0.001772642,0.9913968,-0.025566343,-0.006391586,0.008522115,-0.016759412,-0.074220255,9.613917
1741261517.4452717,-0.1307366,-0.006038422,-0.0017845705,0.9913972,-0.021305285,-0.012783172,-0.0053263213,-0.055066638,-0.11492168,9.502586
1741261517.4468696,-0.13073435,-0.0060384762,-0.0017880071,0.9913975,-0.021305285,-0.01704423,-0.0074568503,-0.055066638,-0.11492168,9.502586
1741261517.4489634,-0.13073938,-0.0060411743,-0.001792671,0.99139684,-0.019174758,-0.020240022,-0.0021305287,-0.055066638,-0.11492168,9.502586
1741261517.4509265,-0.13073626,-0.0060541476,-0.0017941573,0.99139714,-0.021305285,-0.0149137005,-0.003195793,-0.093373865,-0.075417355,9.560047
1741261517.453015,-0.130733,-0.0060544894,-0.0017928334,0.9913976,-0.011717907,-0.018109493,-0.009587379,-0.093373865,-0.075417355,9.560047
1741261517.4549813,-0.13072738,-0.0060591204,-0.0018019526,0.9913983,-0.019174758,-0.010652643,-0.010652643,-0.093373865,-0.075417355,9.560047
1741261517.4574816,-0.13072756,-0.0060636248,-0.0018010678,0.9913982,-0.012783172,-0.021305285,-0.0074568503,-0.029927522,-0.08259996,9.616311
1741261517.459386,-0.13072641,-0.006060292,-0.0018029901,0.9913984,-0.019174758,-0.02450108,-0.0053263213,-0.029927522,-0.08259996,9.616311
1741261517.4615247,-0.13072455,-0.006066684,-0.001801139,0.9913986,-0.015978964,-0.0042610574,-0.0042610574,-0.039504327,-0.18435353,9.557653
1741261517.4633596,-0.1307222,-0.0060623223,-0.001787548,0.991399,0.0,-0.030892665,-0.003195793,-0.039504327,-0.18435353,9.557653
1741261517.4654772,-0.13071893,-0.0060546957,-0.0017775706,0.99139947,-0.011717907,-0.026631609,-0.0053263213,-0.079008654,-0.07182605,9.497798
1741261517.4672818,-0.13071832,-0.0060535725,-0.0017709833,0.9913995,-0.0010652643,-0.02237055,-0.0042610574,-0.079008654,-0.07182605,9.497798
1741261517.469012,-0.1307108,-0.006041603,-0.0017556663,0.99140066,-0.0053263213,-0.026631609,-0.006391586,-0.011971008,-0.01316811,9.524135
1741261517.4710195,-0.13070056,-0.0060439855,-0.0017467452,0.991402,-0.0021305287,-0.010652643,-0.01704423,-0.011971008,-0.01316811,9.524135
1741261517.4731548,-0.13069452,-0.00604294,-0.0017467735,0.99140286,-0.01704423,-0.018109493,-0.009587379,-0.011971008,-0.01316811,9.524135
1741261517.4751253,-0.13069433,-0.0060385265,-0.001752232,0.99140286,-0.023435814,-0.027696872,-0.0042610574,-0.04189853,-0.06943185,9.457097
1741261517.4771302,-0.13069828,-0.0060388464,-0.0017588706,0.9914023,-0.015978964,-0.0149137005,0.0021305287,-0.04189853,-0.06943185,9.457097
1741261517.4791794,-0.1306961,-0.0060368497,-0.0017538305,0.9914026,-0.0053263213,-0.023435814,-0.0074568503,-0.04189853,-0.06943185,9.457097
1741261517.4811935,-0.1307017,-0.0060282024,-0.0017640572,0.9914019,-0.030892665,-0.025566343,0.008522115,-0.06464344,-0.044292733,9.457097
1741261517.4831545,-0.13071348,-0.006028941,-0.0017705837,0.99140036,-0.019174758,-0.018109493,0.009587379,-0.06464344,-0.044292733,9.457097
1741261517.485467,-0.13071552,-0.006024659,-0.0017672814,0.99140006,-0.009587379,-0.027696872,0.0010652643,0.0035913025,-0.04070143,9.43076
1741261517.487024,-0.1307121,-0.00601676,-0.0017659538,0.9914006,-0.01704423,-0.025566343,-0.006391586,0.0035913025,-0.04070143,9.43076
1741261517.4891944,-0.13070938,-0.006015583,-0.0017619083,0.991401,-0.0074568503,-0.021305285,-0.008522115,0.0035913025,-0.04070143,9.43076
1741261517.4910254,-0.13071339,-0.0060096774,-0.001767454,0.9914005,-0.028762136,-0.012783172,0.0042610574,0.046686932,-0.08140286,9.411607
1741261517.493145,-0.13070789,-0.005999532,-0.0017628464,0.99140126,-0.010652643,-0.021305285,0.0,0.046686932,-0.08140286,9.411607
1741261517.4951024,-0.13070938,-0.0059966194,-0.0017613248,0.99140114,-0.012783172,-0.023435814,0.0,0.044292733,0.01436521,9.509769
1741261517.4971597,-0.1307165,-0.005998357,-0.0017655261,0.9914002,-0.023435814,-0.01704423,0.006391586,0.044292733,0.01436521,9.509769
1741261517.4993916,-0.13071892,-0.0059951367,-0.0017693447,0.9913998,-0.0149137005,-0.023435814,-0.0010652643,0.044292733,0.01436521,9.509769
1741261517.5011737,-0.13070852,-0.0059915017,-0.0017773552,0.9914012,-0.013848436,-0.02237055,-0.0042610574,0.055066638,-0.007182605,9.489418
1741261517.5030487,-0.13070892,-0.0059909755,-0.0017800898,0.99140114,-0.021305285,-0.01704423,-0.0021305287,0.055066638,-0.007182605,9.489418
1741261517.5053604,-0.13071491,-0.0059847957,-0.0017872816,0.99140036,-0.019174758,-0.009587379,0.0010652643,-0.007182605,-0.075417355,9.506178
1741261517.507228,-0.13071989,-0.005992574,-0.0017888736,0.9913997,-0.0149137005,-0.0149137005,-0.0010652643,-0.007182605,-0.075417355,9.506178
1741261517.5091603,-0.13072135,-0.0059937946,-0.0017877595,0.9913995,-0.012783172,-0.0149137005,0.0,-0.007182605,-0.075417355,9.506178
1741261517.5113215,-0.13072297,-0.0060027316,-0.0017932795,0.9913992,-0.018109493,-0.018109493,-0.003195793,0.10295067,-0.06344634,9.44752
